Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification Code,Firm,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,J,A,S,O,N,D,J,F,M,A,M,J
,Market E,APAC Dummy,Category F,FB.50913,03,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,APAC Dummy,Category C,FB.51093,03,190,190,190,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,APAC Dummy,Category C,FB.51094,03,280,280,280,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,APAC Dummy,Category C,FB.51095,04,750,750,750,750,750,750,600,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,APAC Dummy,Category C,FB.54085,01,,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,APAC Dummy,Category C,FB.XXXXX,01,,,,,,378,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,APAC Dummy,Category F,,04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,APAC Dummy,Category A,,04,540,486,486,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2019-08,Market E,Plant A,Category C,A.03056,01,,0,-2.505,-2.505,-2.505,-2.505,-2.505,-2.505,-2.505,-2.505,-2.505,-2.505,-2.505,-2.505,0,0,0,0,0,0,0,0,0,0,0
2019-07,Market E,Plant A,Category C,A.03137,01,51.4446,51,50.87,0.98,1.416,1.416,1.4159999999999986,1.4159999999999986,1.4159999999999986,1.4159999999999986,1.4159999999999986,0.9799999999999986,0.9799999999999986,0,0.98,15.397,0,-15.397,0,0,0,0,0,0,0
2019-07,Market E,Plant A,Category B,A.03349,04,7398.900000000001,7742.259,7742.207,7743.25,7542,7545.058,7462.199,7463.803,7562.422,7436,7436,7126,7126.000859999998,-500.473,3357.365,563.274,1310.979,80.892,396.009,206.441,81.189,708.006,444.593,53,424.72585999999865
2019-07,Market E,Plant A,Category C,A.03389,01,20.047,15,14.722,13.715,12.756,12.756,-48.867999999999995,-58.843,-58.843,-58.843,-58.843,-58.806999999999995,-58.806999999999995,0.711,2.022,0,0,-71.55,0,10.01,0,0,0,0,0
2019-07,Market E,Plant A,Category C,A.03447,02,1079.9343,924.9599000000001,866.25,864.7984,865.511,754,754.2439000000002,754,756.3437,756,756,742,741.724,68.403,40.903,124.09,98.032,68.359,251.358,27.15,7.686,61.363,4.38,-10,0
2019-07,Market E,Plant A,Category C,A.03476,01,405,405,405,382,383.349,382.1,382.42529999999994,387.226,382.3839,356,356,356.031,356.031,5.991,26.348,16.976,16.451,1.55,91.577,61.951,12.959,55.719,6.509,30,30
2019-07,Market E,Plant A,Category B,A.03478,02,480.396,396.622,396.622,397.242,397.858,397.858,396.072,396.072,397.08200000000005,385,385,380.405,380.405,-36.495,12.263,168.839,68.785,0.15,17.014,32.053,9.186,44.041,26.169,36,2.4
2019-07,Market E,Plant A,Category C,A.03486,01,683.339,597.98,597.98,597.878,597.172,598.7,598.5,598.7,598.7,580,580,579.9839999999999,579.9839999999999,-25.447,80.383,114.612,227.371,16.066,17.234,24.344,-4.711,19.095,89.337,7,14.7
