,,,,,,,,,,,,,,,,,,,Monthly Spending Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification Code, Firm , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun ,J,A,S,O,N,D,J,F,M,A,M,J,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant A,Category B,A.03349,04, 350 , 303 , 303 , 303 , 302 , 302 , 303 , 303 , 223 , 209 , 229 , 229 , 229 , 57 , 62 , 5 , 31 , 9 , 44 , 0 , 1 , -   , 3 , 17 , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant A,Category C,A.03476,01, 30 , 30 , 30 , 30 , 30 , 30 , 30 , 30 , 30 , 25 , 25 , 25 , 25 , -   , 24 , -   , 1 , 0 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant A,Category B,A.03478,02,, 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , (0), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant A,Category B,A.03486,02,,, -   , (0), 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , -   , (0), -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category B,A.03578,02, 330 , 304 , 304 , 304 , 304 , 304 , 304 , 304 , 304 , 282 , 272 , 272 , 272 , 3 , 36 , 17 , 28 , 6 , 75 , 44 , 16 , 47 , 0 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-08,Market E,Plant A,Category C,A.03579,01, 10 , 10 , 20 , 20 , 20 , 20 , 20 , 20 , 16 , 16 , 16 , 16 , 16 , -   , 12 , (5), 9 , -   , (0), (0), -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category B,A.03592,01, 129 , 70 , 70 , 70 , 70 , 70 , 70 , 70 , 70 , 63 , 63 , 63 , 63 , 13 , 18 , (2), 21 , 5 , 5 , 7 , (4), -   , 0 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2020-02,Market E,Plant A,Category B,A.03688,02, 449 , 480 , 480 , 480 , 480 , 480 , 451 , 451 , 451 , 420 , 473 , 473 , 473 , 2 , 162 , 19 , 53 , 24 , 72 , 18 , 4 , 72 , 10 , 32 , 5 ,,,,,,,,,,,,,,,,,,,,,,
