,,,,,,,,,,,,,,,,,,, Monthly Spending ,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, FIRM , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun , J , A , S , O , N , D , J , F , M ,A,M,J,
2019-07,Market E,Plant A,Category B,A.03349,02,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   ,
2020-02,Market E,Plant A,Category B,A.03688,02, 15 , 30 , 30 , 30 , 30 , 30 , 10 , 10 , 10 , 10 , 27 , 12 , 12 , -   , -   , -   , -   , -   , 5 , -   ,, 3 , -   , -   , 3 ,
2020-03,Market E,Plant A,Category C,A.03703,02, 324 , 185 , 185 , 186 , 186 , 185 , 185 , 185 , 125 , 95 , 95 , 95 , 94 , 15 , 2 , -   , 0 , 9 , 5 , 0 , -   , 39 , 8 , 15 , 2 ,
2020-04,Market E,Plant A,Category B,A.03718,02, 288 , 399 , 400 , 399 , 399 , 399 , 185 , 185 , 285 , 286 , 339 , 281 , 303 , 75 , 0 , 1 , 3 , 48 , 12 , -   ,, 53 , 32 , 42 , 37 ,
,Market E,Plant A,Category B,A.03885,04," 1,200 "," 1,200 "," 1,200 "," 1,200 "," 1,200 "," 1,201 ", 689 , 690 , 690 , 820 , 828 , 914 , 825 , 7 , 272 , (56), (89), 1 , 79 , 16 ,, 38 , 254 , 41 , 262 ,
,Market E,Plant A,Category F,A.04002,04, 353 , 358 , 358 , 358 , 358 , 358 , 358 , 358 , 358 , 338 , 338 , 338 , 330 , -   , 5 , 9 , -   , 5 , (0), 183 , 5 , 9 , 46 , 51 , 18 ,
,Market E,Plant A,Category C,A.04104,04, -   , 450 , 570 , 570 , 570 , 570 , 450 , 450 , 570 , 455 , 455 , 200 , 216 , -   , -   , -   , -   , -   , 43 , -   ,, 4 , 82 , 25 , 63 ,
,Market E,Plant A,Category C,A.04151,01, 350 , -   , -   , -   , -   , 600 , 443 , 443 , 441 , 337 , 322 , 266 , 266 , -   , -   , -   , -   , -   , -   , -   ,, -   , 27 , 228 , 11 ,
,Market E,Plant A,Category F,B.07197,03, 90 , 316 , 316 , 316 , 316 , 316 , 315 , 277 , 277 , 260 , 263 , 253 , 185 , 7 , 1 , 12 , 8 , 2 , 21 , 18 , 6 , 9 , 65 , 26 , 10 ,
,Market E,Plant A,Category F,B.07199,04, 100 , 234 , 234 , 456 , 460 , 459 , 459 , 460 , 419 , 416 , 401 , 347 , 307 , 1 , 222 , 2 , 1 , -   , 6 , 16 , 3 , 2 , 17 , 18 , 19 ,
,Market E,Plant A,Category F,B.07199,04,,,,,, (3), (3), (3), (8), (8), (8), (8), (8), -   , -   , (3), -   , -   , -   , (4),, -   , -   , -   , -   ,
,Market E,Plant A,Category C,B.07208,01, 46 , 54 , 54 , 53 , 53 , 53 , 54 , 54 , 54 , 47 , 47 , 47 , 47 , 1 , 3 , -   , -   , 7 , 33 , 3 ,, 0 , 1 , -   , -   ,
,Market E,Plant A,Category B,B.07250,01, 144 , 293 , 292 , 292 , 292 , 292 , 292 , 293 , 292 , 287 , 287 , 227 , 229 , 2 , 50 , 1 , 1 , 11 , 58 , 35 ,, 21 , 12 , 39 , -   ,
,Market E,Plant A,Category F,B.07549,03," 1,940 "," 1,716 "," 1,716 "," 1,716 "," 1,717 "," 1,717 "," 1,718 "," 1,717 "," 1,717 "," 1,497 "," 1,525 "," 1,197 "," 1,121 ", -   , -   , 2 , 11 , 5 , 194 , 119 , 8 , 124 , 88 , 219 , 349 ,
,Market E,Plant A,Category C,B.07550,04,,,,, 90 , 263 , 403 , -   , -   , -   , -   , -   , 48 , -   , -   , -   , -   , -   , -   , -   ,, -   , 48 ,, -   ,
,Market E,Plant A,Category F,B.07550,04, 614 ," 1,260 "," 1,008 "," 1,008 "," 1,008 "," 1,008 ", 863 ," 1,000 ", 721 , 575 , 582 , 314 , 366 , -   , -   , -   , -   , -   , -   , 54 ,, 10 , 48 , 104 , 150 ,
,Market E,Plant A,Category C,B.07558,01, 150 , 180 , 198 , 198 , 198 , 204 , 198 , 521 , 521 , 587 , 512 , 504 , 501 , -   , -   , -   , -   , 5 , 132 , 25 , 37 , 141 , 56 , 44 , 62 ,
,Market E,Plant A,Category C,B.07558,02,,,, 176 , 176 , 176 , 176 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category C,B.07558,01,, 50 , 50 , 50 , 90 , 90 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category C,B.07558,01,,,,, 45 , 45 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category C,B.07558,01,,,,,,,, 45 , 50 , 50 , 25 , -   , 25 , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, 25 ,
,Market E,Plant A,Category C,FB.45770,04, 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category B,FB.47524,04, 150 , 225 , 225 , 225 , 225 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category F,FB.50644,03, 56 , 56 , 56 , 56 , 56 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category F,FB.56581,04, 750 , 500 , 500 , 250 , 250 , 250 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category C,FB.57237,01, 250 , 250 , 250 , 250 , 250 , 250 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category C,FB.57244,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category C,FB.57247,01, 375 , 375 , 375 , 375 , 375 , 375 , 375 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category C,FB.57248,01, 750 , 750 , 750 , 750 , 750 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   ,, -   ,
,Market E,Plant A,Category C,FB.57250,01, 167 , 167 , 167 , 167 , 167 , 167 , 167 , 167 , 167 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,, -   ,
,Market E,Plant A,Category B,FB.57254,01, 150 , 150 , 150 , 150 , 150 , 50 , 45 , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category B,FB.57255,01, 525 , 525 , 525 , 525 , 350 , 350 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category B,FB.57255,01,,,,,, -   , 150 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57257,01, 125 , 125 , 125 , 125 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category B,FB.57258,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category B,FB.57260,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category C,FB.60684,01, 750 , 750 , 750 , 750 , 540 , 180 , 180 , 180 , 180 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,
,Market E,Plant A,Category C,FB.60685,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category C,FB.66195,01,,,,, 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category C,FB.66870,01, 600 , 600 , 600 , 600 , 350 , 350 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 441 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category C,FB.79878,02,,, 180 , 180 , 180 , 198 , 198 , 198 , 81 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,
,Market E,Plant A,Category C,FB.82986,04, -   , -   , -   , -   , -   , -   , -   , 18 , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant A,Category C,FB.84871,02,,,,,,,,,, -   , 180 , 180 , 146 ,,,,,,,, -   , -   , -   , 146 , -   ,
,Market E,Plant A,Category C,GRA,01,,,,,,,,,, -   , 122 , 133 , 104 ,,,,,,,,, 67 , 37 ,, -   ,
,Market E,Plant A,Category C,,01,,,,,,,,,,,, 122 , 70 ,,,,,,,,,, -   , 70 , -   ,
2019-07,Market E,Plant B,Category C,A.03471,02, 44 , 10 , 20 , 21 , 28 , 29 , 19 , 26 , 47 , 61 , 61 , 61 , 61 , -   , -   , 7 , 2 , -   , 17 , 22 , 14 , -   , -   , -   , -   ,
2019-08,Market E,Plant B,Category C,A.03541,01, 28 , 100 , 85 , 111 , 119 , 127 , 127 , 129 , 129 , 129 , 129 , 129 , 129 , 36 , 4 , 50 , 37 , -   , 2 , -   ,, -   , -   , -   , -   ,
2020-01,Market E,Plant B,Category A,A.03648,01,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , 0 , -   , -   , -   , -   ,, -   , -   , -   , -   ,
2020-03,Market E,Plant B,Category A,A.03712,02, 399 , 629 , 429 , 430 , 435 , 435 , 600 , 582 , 634 , 628 , 527 , 533 , 536 , 84 , 52 , 24 , 23 , 133 , 70 , -   , 4 , 63 ,34, 3 , 46 ,
2020-05,Market E,Plant B,Category C,A.03761,02, -   , 95 , 115 , 90 , 72 , 91 , 82 , 89 , 86 , 88 , 83 , 82 , 75 , 19 , 9 , 3 , 0 , 11 , 3 , -   , 0 , 16 ,11, 1 , -   ,
,Market E,Plant B,Category C,A.03813,02, 130 , 365 , 290 , 360 , 354 , 347 , 341 , 309 , 306 , 297 , 314 , 314 , 300 , 36 , 26 , 53 , 16 , 4 , 102 , 3 , 24 , 32 ,0, 5 , -   ,
,Market E,Plant B,Category A,A.04048,04,," 1,125 ", 900 , 900 , 900 , 900 , 900 , 630 , 375 , 430 , 661 , 594 , 565 , -   , -   , -   , -   , 46 , 89 , -   , 38 , 240 ,18, 133 , -   ,
,Market E,Plant B,Category F,A.04107,04,,,,,,, 900 , 666 , 662 , 524 , 528 , 472 , 549 , -   , -   , -   , -   , -   , 56 , -   , 1 , 199 ,7, 91 , 197 ,
,Market E,Plant B,Category C,A.04170,01,,,,,,,,,,, 57 , 53 , 106 ,,,,,,,,, -   , - , 43 , 63 ,
,Market E,Plant B,Category C,A.04170 (GRA),01, 250 , -   , -   , -   , -   , -   , 324 , 324 , 324 , 171 , 137 , 113 , 113 , -   , -   , -   , -   , -   , 85 , -   ,, -   , 52 , -   , (24),
,Market E,Plant B,Category F,A.04206,04,, 450 , 450 , 450 , 450 , 360 , 360 , 100 , 100 , -   , -   , 90 , 90 , -   , -   , -   , -   , -   ,,,,, -   , -   , 90 ,
,Market E,Plant B,Category C,B.06056,01,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , -   , -   , -   , -   ,, -   , -   , -   , -   ,
2019-07,Market E,Plant B,Category F,B.06383,03,,,,,, -   , 2 , 2 , 2 , 2 , 2 , 2 , 2 , -   , -   , -   , -   , 2 , -   , -   ,, -   , -   , -   , -   ,
